,title,label,new_title,Tokeniz,new_title2,stemmed_title
1082,Kasatgas P3GN Polri Tegaskan Akan Proses Hukum Siapa Pun yang Terlibat Narkoba,hard,kasatgas polri tegaskan akan proses hukum siapa pun yang terlibat narkoba,"['kasatgas', 'polri', 'tegaskan', 'akan', 'proses', 'hukum', 'siapa', 'pun', 'yang', 'terlibat', 'narkoba']","['kasatgas', 'polri', 'tegaskan', 'proses', 'hukum', 'terlibat', 'narkoba']","['kasatgas', 'polri', 'tegas', 'proses', 'hukum', 'libat', 'narkoba']"
1083,Buron Fredy Pratama di Belantara Hutan Thailand,hard,buron fredy pratama di belantara hutan thailand,"['buron', 'fredy', 'pratama', 'di', 'belantara', 'hutan', 'thailand']","['buron', 'fredy', 'pratama', 'belantara', 'hutan', 'thailand']","['buron', 'fredy', 'pratama', 'belantara', 'hutan', 'thailand']"
1084,"Gempa M 6,1 Guncang Pegunungan Bintang",hard,gempa m guncang pegunungan bintang,"['gempa', 'm', 'guncang', 'pegunungan', 'bintang']","['gempa', 'guncang', 'pegunungan', 'bintang']","['gempa', 'guncang', 'gunung', 'bintang']"
1085,Satgas P3GN Polri Tangkap 49 Orang Jaringan Fredy Pratama hingga Maret 2024,hard,satgas polri tangkap orang jaringan fredy pratama hingga maret,"['satgas', 'polri', 'tangkap', 'orang', 'jaringan', 'fredy', 'pratama', 'hingga', 'maret']","['satgas', 'polri', 'tangkap', 'orang', 'jaringan', 'fredy', 'pratama', 'maret']","['satgas', 'polri', 'tangkap', 'orang', 'jaring', 'fredy', 'pratama', 'maret']"
1086,"La Nyalla Berpotensi Lolos DPD, Raih Lebih dari 3 Juta Suara",hard,la nyalla berpotensi lolos dpd raih lebih dari juta suara,"['la', 'nyalla', 'berpotensi', 'lolos', 'dpd', 'raih', 'lebih', 'dari', 'juta', 'suara']","['la', 'nyalla', 'berpotensi', 'lolos', 'dpd', 'raih', 'juta', 'suara']","['la', 'nyalla', 'potensi', 'lolos', 'dpd', 'raih', 'juta', 'suara']"
1087,"Tangkap 21 Ribu Tersangka Narkoba, Polri: 20,7 Juta Jiwa Terselamatkan",hard,tangkap ribu tersangka narkoba polri juta jiwa terselamatkan,"['tangkap', 'ribu', 'tersangka', 'narkoba', 'polri', 'juta', 'jiwa', 'terselamatkan']","['tangkap', 'ribu', 'tersangka', 'narkoba', 'polri', 'juta', 'jiwa', 'terselamatkan']","['tangkap', 'ribu', 'sangka', 'narkoba', 'polri', 'juta', 'jiwa', 'selamat']"
1088,"Prabowo-Gibran Unggul di Papua Barat, Disusul Ganjar-Mahfud",hard,prabowogibran unggul di papua barat disusul ganjarmahfud,"['prabowogibran', 'unggul', 'di', 'papua', 'barat', 'disusul', 'ganjarmahfud']","['unggul', 'papua', 'barat', 'disusul', 'ganjarmahfud']","['unggul', 'papua', 'barat', 'susul', 'ganjarmahfud']"
1089,Ketua KPU Doakan Anggota yang Meninggal di Mamuju Tengah Saat Bertugas,hard,ketua kpu doakan anggota yang meninggal di mamuju tengah saat bertugas,"['ketua', 'kpu', 'doakan', 'anggota', 'yang', 'meninggal', 'di', 'mamuju', 'tengah', 'saat', 'bertugas']","['ketua', 'kpu', 'doakan', 'anggota', 'meninggal', 'mamuju', 'bertugas']","['ketua', 'kpu', 'doa', 'anggota', 'tinggal', 'mamuju', 'tugas']"
1090,"9 Hari Operasi Keselamatan Jaya, 547 Pengendara di Depok Kena Tilang",hard,hari operasi keselamatan jaya pengendara di depok kena tilang,"['hari', 'operasi', 'keselamatan', 'jaya', 'pengendara', 'di', 'depok', 'kena', 'tilang']","['operasi', 'keselamatan', 'jaya', 'pengendara', 'kena', 'tilang']","['operasi', 'selamat', 'jaya', 'kendara', 'kena', 'tilang']"
1091,"Kuota Tambahan Haji RI 20 Ribu, Alokasi 50:50 untuk Reguler dan Khusus",hard,kuota tambahan haji ri ribu alokasi untuk reguler dan khusus,"['kuota', 'tambahan', 'haji', 'ri', 'ribu', 'alokasi', 'untuk', 'reguler', 'dan', 'khusus']","['kuota', 'tambahan', 'haji', 'ri', 'ribu', 'alokasi', 'reguler', 'khusus']","['kuota', 'tambah', 'haji', 'ri', 'ribu', 'alokasi', 'reguler', 'khusus']"
1092,Biden Vs Trump Jilid II di Pilpres AS,hard,biden vs trump jilid ii di pilpres as,"['biden', 'vs', 'trump', 'jilid', 'ii', 'di', 'pilpres', 'as']","['biden', 'vs', 'trump', 'jilid', 'ii', 'pilpres', 'as']","['biden', 'vs', 'trump', 'jilid', 'ii', 'pilpres', 'as']"
1093,"Akan Diatur di PP, ASN Pria Bisa Dapat 'Cuti Ayah' Saat Istri Melahirkan",hard,akan diatur di pp asn pria bisa dapat cuti ayah saat istri melahirkan,"['akan', 'diatur', 'di', 'pp', 'asn', 'pria', 'bisa', 'dapat', 'cuti', 'ayah', 'saat', 'istri', 'melahirkan']","['diatur', 'pp', 'asn', 'pria', 'cuti', 'ayah', 'istri', 'melahirkan']","['atur', 'pp', 'asn', 'pria', 'cuti', 'ayah', 'istri', 'lahir']"
1094,Ridwan Kamil Sebut Mabes TNI-Polri di IKN Mirip Hotel di Nusa Dua Bali,hard,ridwan kamil sebut mabes tnipolri di ikn mirip hotel di nusa dua bali,"['ridwan', 'kamil', 'sebut', 'mabes', 'tnipolri', 'di', 'ikn', 'mirip', 'hotel', 'di', 'nusa', 'dua', 'bali']","['ridwan', 'kamil', 'mabes', 'tnipolri', 'ikn', 'hotel', 'nusa', 'bali']","['ridwan', 'kamil', 'mabes', 'tnipolri', 'ikn', 'hotel', 'nusa', 'bal']"
1095,RK Ngaku Pernah Dicurhati Jokowi soal Simbol Penjajah di Istana Merdeka,hard,rk ngaku pernah dicurhati jokowi soal simbol penjajah di istana merdeka,"['rk', 'ngaku', 'pernah', 'dicurhati', 'jokowi', 'soal', 'simbol', 'penjajah', 'di', 'istana', 'merdeka']","['rk', 'ngaku', 'dicurhati', 'simbol', 'penjajah', 'istana', 'merdeka']","['rk', 'ngaku', 'dicurhati', 'simbol', 'jajah', 'istana', 'merdeka']"
1096,Kata Gibran soal Kabar Jokowi Diminta Pimpin Koalisi,hard,kata gibran soal kabar jokowi diminta pimpin koalisi,"['kata', 'gibran', 'soal', 'kabar', 'jokowi', 'diminta', 'pimpin', 'koalisi']","['kabar', 'pimpin', 'koalisi']","['kabar', 'pimpin', 'koalisi']"
1097,Pria di Tuban Dipukuli Pakai Gitar karena Dekati Mantan Pacar Pelaku,hard,pria di tuban dipukuli pakai gitar karena dekati mantan pacar pelaku,"['pria', 'di', 'tuban', 'dipukuli', 'pakai', 'gitar', 'karena', 'dekati', 'mantan', 'pacar', 'pelaku']","['pria', 'tuban', 'dipukuli', 'pakai', 'gitar', 'dekati', 'mantan', 'pacar', 'pelaku']","['pria', 'tuban', 'pukul', 'pakai', 'gitar', 'dekat', 'mantan', 'pacar', 'laku']"
1098,"Awal Mula Kasus Korupsi Dana PIP untuk SD di Serang Rugikan Negara Rp 1,3 M",hard,awal mula kasus korupsi dana pip untuk sd di serang rugikan negara rp m,"['awal', 'mula', 'kasus', 'korupsi', 'dana', 'pip', 'untuk', 'sd', 'di', 'serang', 'rugikan', 'negara', 'rp', 'm']","['korupsi', 'dana', 'pip', 'sd', 'serang', 'rugikan', 'negara', 'rp']","['korupsi', 'dana', 'pip', 'sd', 'serang', 'rugi', 'negara', 'rp']"
1099,Kepala Otorita IKN Ungkap Stanford Akan Bangun 'Knowledge Hub Nusantara',hard,kepala otorita ikn ungkap stanford akan bangun knowledge hub nusantara,"['kepala', 'otorita', 'ikn', 'ungkap', 'stanford', 'akan', 'bangun', 'knowledge', 'hub', 'nusantara']","['kepala', 'otorita', 'ikn', 'stanford', 'bangun', 'knowledge', 'hub', 'nusantara']","['kepala', 'otorita', 'ikn', 'stanford', 'bangun', 'knowledge', 'hub', 'nusantara']"
1100,Hati-hati! Tiang Penyangga Tanjakan Bangangah Pandeglang Lagi Diperbaiki,hard,hatihati tiang penyangga tanjakan bangangah pandeglang lagi diperbaiki,"['hatihati', 'tiang', 'penyangga', 'tanjakan', 'bangangah', 'pandeglang', 'lagi', 'diperbaiki']","['hatihati', 'tiang', 'penyangga', 'tanjakan', 'bangangah', 'pandeglang', 'diperbaiki']","['hatihati', 'tiang', 'sangga', 'tanjak', 'bangangah', 'pandeglang', 'baik']"
1101,Obrolan Rahasia AS ke Iran demi Setop Serangan Houthi di Laut Merah,hard,obrolan rahasia as ke iran demi setop serangan houthi di laut merah,"['obrolan', 'rahasia', 'as', 'ke', 'iran', 'demi', 'setop', 'serangan', 'houthi', 'di', 'laut', 'merah']","['obrolan', 'rahasia', 'as', 'iran', 'setop', 'serangan', 'houthi', 'laut', 'merah']","['obrol', 'rahasia', 'as', 'iran', 'setop', 'serang', 'houthi', 'laut', 'merah']"
1102,Otorita IKN Jamin Hak Masyarakat Adat: Kita Tak Akan Gusur Semena-mena,hard,otorita ikn jamin hak masyarakat adat kita tak akan gusur semenamena,"['otorita', 'ikn', 'jamin', 'hak', 'masyarakat', 'adat', 'kita', 'tak', 'akan', 'gusur', 'semenamena']","['otorita', 'ikn', 'jamin', 'hak', 'masyarakat', 'adat', 'gusur', 'semenamena']","['otorita', 'ikn', 'jamin', 'hak', 'masyarakat', 'adat', 'gusur', 'semenamena']"
1103,Pemprov DKI Putuskan 771 Orang Tak Layak Terima KJMU,hard,pemprov dki putuskan orang tak layak terima kjmu,"['pemprov', 'dki', 'putuskan', 'orang', 'tak', 'layak', 'terima', 'kjmu']","['pemprov', 'putuskan', 'orang', 'layak', 'terima', 'kjmu']","['pemprov', 'putus', 'orang', 'layak', 'terima', 'kjmu']"
1104,"JK Buka Puasa Bareng Dubes UEA hingga Palestina, Bahas Dukungan Kemanusiaan",hard,jk buka puasa bareng dubes uea hingga palestina bahas dukungan kemanusiaan,"['jk', 'buka', 'puasa', 'bareng', 'dubes', 'uea', 'hingga', 'palestina', 'bahas', 'dukungan', 'kemanusiaan']","['jk', 'buka', 'puasa', 'bareng', 'dubes', 'uea', 'palestina', 'bahas', 'dukungan', 'kemanusiaan']","['jk', 'buka', 'puasa', 'bareng', 'dubes', 'uea', 'palestina', 'bahas', 'dukung', 'manusia']"
1105,BPBD: 144.329 Jiwa di 30 Kelurahan Terdampak Banjir di Semarang,hard,bpbd jiwa di kelurahan terdampak banjir di semarang,"['bpbd', 'jiwa', 'di', 'kelurahan', 'terdampak', 'banjir', 'di', 'semarang']","['bpbd', 'jiwa', 'kelurahan', 'terdampak', 'banjir', 'semarang']","['bpbd', 'jiwa', 'lurah', 'dampak', 'banjir', 'semarang']"
1106,Caleg PKS Sumedi Ungkap Alasan Putus Aliran Air ke Warga Usai Kalah Pemilu,hard,caleg pks sumedi ungkap alasan putus aliran air ke warga usai kalah pemilu,"['caleg', 'pks', 'sumedi', 'ungkap', 'alasan', 'putus', 'aliran', 'air', 'ke', 'warga', 'usai', 'kalah', 'pemilu']","['caleg', 'pks', 'sumedi', 'alasan', 'putus', 'aliran', 'air', 'kalah', 'pemilu']","['caleg', 'pks', 'sumedi', 'alas', 'putus', 'alir', 'air', 'kalah', 'milu']"
1107,Ketua PBNU Bela Gus Iqdam soal Pernyataan tentang Palestina: Dia Anti-Israel,hard,ketua pbnu bela gus iqdam soal pernyataan tentang palestina dia antiisrael,"['ketua', 'pbnu', 'bela', 'gus', 'iqdam', 'soal', 'pernyataan', 'tentang', 'palestina', 'dia', 'antiisrael']","['ketua', 'pbnu', 'bela', 'gus', 'iqdam', 'pernyataan', 'palestina', 'antiisrael']","['ketua', 'pbnu', 'bela', 'gus', 'iqdam', 'nyata', 'palestina', 'antiisrael']"
1108,KPK Tunjuk Plt Pengganti Karutan yang Ditahan di Kasus Pungli,hard,kpk tunjuk plt pengganti karutan yang ditahan di kasus pungli,"['kpk', 'tunjuk', 'plt', 'pengganti', 'karutan', 'yang', 'ditahan', 'di', 'kasus', 'pungli']","['kpk', 'plt', 'pengganti', 'karutan', 'ditahan', 'pungli']","['kpk', 'plt', 'ganti', 'karut', 'tahan', 'pungli']"
1109,NasDem: Ratu Wulla Mundur Atas Kemauan Sendiri dan Tanpa Paksaan,hard,nasdem ratu wulla mundur atas kemauan sendiri dan tanpa paksaan,"['nasdem', 'ratu', 'wulla', 'mundur', 'atas', 'kemauan', 'sendiri', 'dan', 'tanpa', 'paksaan']","['nasdem', 'ratu', 'wulla', 'mundur', 'kemauan', 'paksaan']","['nasdem', 'ratu', 'wulla', 'mundur', 'mau', 'paksa']"
1110,"Rekapitulasi Nasional: PDIP Unggul di Maluku Utara, Disusul Golkar dan PKS",hard,rekapitulasi nasional pdip unggul di maluku utara disusul golkar dan pks,"['rekapitulasi', 'nasional', 'pdip', 'unggul', 'di', 'maluku', 'utara', 'disusul', 'golkar', 'dan', 'pks']","['rekapitulasi', 'nasional', 'pdip', 'unggul', 'maluku', 'utara', 'disusul', 'golkar', 'pks']","['rekapitulasi', 'nasional', 'pdip', 'unggul', 'malu', 'utara', 'susul', 'golkar', 'pks']"
1111,Prabowo Terima Ucapan Selamat dari PM Spanyol Atas Hasil Sementara Pilpres,hard,prabowo terima ucapan selamat dari pm spanyol atas hasil sementara pilpres,"['prabowo', 'terima', 'ucapan', 'selamat', 'dari', 'pm', 'spanyol', 'atas', 'hasil', 'sementara', 'pilpres']","['terima', 'ucapan', 'selamat', 'pm', 'spanyol', 'hasil', 'pilpres']","['terima', 'ucap', 'selamat', 'pm', 'spanyol', 'hasil', 'pilpres']"
1112,Tersangka Pungli Rutan KPK Ancam Tahanan Kunci Sel-Piket Kebersihan Lebih,hard,tersangka pungli rutan kpk ancam tahanan kunci selpiket kebersihan lebih,"['tersangka', 'pungli', 'rutan', 'kpk', 'ancam', 'tahanan', 'kunci', 'selpiket', 'kebersihan', 'lebih']","['tersangka', 'pungli', 'rutan', 'kpk', 'ancam', 'tahanan', 'kunci', 'selpiket', 'kebersihan']","['sangka', 'pungli', 'rutan', 'kpk', 'ancam', 'tahan', 'kunci', 'selpiket', 'bersih']"
1113,Kata 3 Sekjen Koalisi soal Prinsip Anies untuk Oposisi Jika Kalah Pilpres,hard,kata sekjen koalisi soal prinsip anies untuk oposisi jika kalah pilpres,"['kata', 'sekjen', 'koalisi', 'soal', 'prinsip', 'anies', 'untuk', 'oposisi', 'jika', 'kalah', 'pilpres']","['sekjen', 'koalisi', 'prinsip', 'oposisi', 'kalah', 'pilpres']","['sekjen', 'koalisi', 'prinsip', 'oposisi', 'kalah', 'pilpres']"
1114,Rekapitulasi Nasional: Prabowo-Gibran Menang di Maluku Utara,hard,rekapitulasi nasional prabowogibran menang di maluku utara,"['rekapitulasi', 'nasional', 'prabowogibran', 'menang', 'di', 'maluku', 'utara']","['rekapitulasi', 'nasional', 'menang', 'maluku', 'utara']","['rekapitulasi', 'nasional', 'menang', 'malu', 'utara']"
1115,"Rekapitulasi Nasional: PDIP Unggul di Sumut I, Golkar Sumut II dan III",hard,rekapitulasi nasional pdip unggul di sumut i golkar sumut ii dan iii,"['rekapitulasi', 'nasional', 'pdip', 'unggul', 'di', 'sumut', 'i', 'golkar', 'sumut', 'ii', 'dan', 'iii']","['rekapitulasi', 'nasional', 'pdip', 'unggul', 'sumut', 'i', 'golkar', 'sumut', 'ii', 'iii']","['rekapitulasi', 'nasional', 'pdip', 'unggul', 'sumut', 'i', 'golkar', 'sumut', 'ii', 'iii']"
1116,PKB Siapkan 2 Nama untuk Pilgub Jakarta: Ida Fauziyah dan Hasbiallah Ilyas,hard,pkb siapkan nama untuk pilgub jakarta ida fauziyah dan hasbiallah ilyas,"['pkb', 'siapkan', 'nama', 'untuk', 'pilgub', 'jakarta', 'ida', 'fauziyah', 'dan', 'hasbiallah', 'ilyas']","['pkb', 'siapkan', 'nama', 'pilgub', 'ida', 'fauziyah', 'hasbiallah', 'ilyas']","['pkb', 'siap', 'nama', 'pilgub', 'ida', 'fauziyah', 'hasbiallah', 'ilyas']"
1117,Baleg DPR Himpun Masukan Pakar Terkait Pembahasan RPJPN 2025-2045,hard,baleg dpr himpun masukan pakar terkait pembahasan rpjpn,"['baleg', 'dpr', 'himpun', 'masukan', 'pakar', 'terkait', 'pembahasan', 'rpjpn']","['baleg', 'dpr', 'himpun', 'masukan', 'pakar', 'terkait', 'pembahasan', 'rpjpn']","['baleg', 'dpr', 'himpun', 'masuk', 'pakar', 'kait', 'bahas', 'rpjpn']"
1118,"Legislator PKS Usul Jakarta Jadi Ibu Kota Legislatif, Baleg: Enggan ke IKN?",hard,legislator pks usul jakarta jadi ibu kota legislatif baleg enggan ke ikn,"['legislator', 'pks', 'usul', 'jakarta', 'jadi', 'ibu', 'kota', 'legislatif', 'baleg', 'enggan', 'ke', 'ikn']","['legislator', 'pks', 'usul', 'kota', 'legislatif', 'baleg', 'enggan', 'ikn']","['legislator', 'pks', 'usul', 'kota', 'legislatif', 'baleg', 'enggan', 'ikn']"
1119,"Gibran Ingin Temui Paslon Lain di Bulan Ramadan, FIS: Adab Menghormati",hard,gibran ingin temui paslon lain di bulan ramadan fis adab menghormati,"['gibran', 'ingin', 'temui', 'paslon', 'lain', 'di', 'bulan', 'ramadan', 'fis', 'adab', 'menghormati']","['temui', 'paslon', 'ramadan', 'fis', 'adab', 'menghormati']","['temu', 'paslon', 'ramadan', 'fis', 'adab', 'hormat']"
1120,Truk Kontainer Tabrak Pohon hingga Tumbang Lalu Timpa Mobil di Bogor,hard,truk kontainer tabrak pohon hingga tumbang lalu timpa mobil di bogor,"['truk', 'kontainer', 'tabrak', 'pohon', 'hingga', 'tumbang', 'lalu', 'timpa', 'mobil', 'di', 'bogor']","['truk', 'kontainer', 'tabrak', 'pohon', 'tumbang', 'timpa', 'mobil']","['truk', 'kontainer', 'tabrak', 'pohon', 'tumbang', 'timpa', 'mobil']"
1121,"Prabowo-Gibran Menang Telak di Sumut, Raih 4.660.408 Suara",hard,prabowogibran menang telak di sumut raih suara,"['prabowogibran', 'menang', 'telak', 'di', 'sumut', 'raih', 'suara']","['menang', 'telak', 'sumut', 'raih', 'suara']","['menang', 'telak', 'sumut', 'raih', 'suara']"
1122,36 Orang Sekeluarga di Gaza Tewas Dibom Israel Jelang Sahur,hard,orang sekeluarga di gaza tewas dibom israel jelang sahur,"['orang', 'sekeluarga', 'di', 'gaza', 'tewas', 'dibom', 'israel', 'jelang', 'sahur']","['orang', 'sekeluarga', 'gaza', 'tewas', 'dibom', 'israel', 'jelang', 'sahur']","['orang', 'keluarga', 'gaza', 'tewas', 'bom', 'israel', 'jelang', 'sahur']"
1123,"Perempuan di Bogor Lompat ke Sungai Cileungsi, Diduga Hendak Bunuh Diri",hard,perempuan di bogor lompat ke sungai cileungsi diduga hendak bunuh diri,"['perempuan', 'di', 'bogor', 'lompat', 'ke', 'sungai', 'cileungsi', 'diduga', 'hendak', 'bunuh', 'diri']","['perempuan', 'lompat', 'sungai', 'cileungsi', 'diduga', 'bunuh']","['perempuan', 'lompat', 'sungai', 'cileungsi', 'duga', 'bunuh']"
1124,10 Rumah Warga di Caringin Bogor Rusak gegara Diterjang Angin Kencang,hard,rumah warga di caringin bogor rusak gegara diterjang angin kencang,"['rumah', 'warga', 'di', 'caringin', 'bogor', 'rusak', 'gegara', 'diterjang', 'angin', 'kencang']","['rumah', 'caringin', 'rusak', 'gegara', 'diterjang', 'angin', 'kencang']","['rumah', 'caringin', 'rusak', 'gegara', 'terjang', 'angin', 'kencang']"
1125,Mahasiswa Unbraw Wakili Indonesia di Forum IMUN Vietnam,hard,mahasiswa unbraw wakili indonesia di forum imun vietnam,"['mahasiswa', 'unbraw', 'wakili', 'indonesia', 'di', 'forum', 'imun', 'vietnam']","['mahasiswa', 'unbraw', 'wakili', 'forum', 'imun', 'vietnam']","['mahasiswa', 'unbraw', 'wakil', 'forum', 'imun', 'vietnam']"
1126,"Gegara Jalan Ditutup Demi Proyek Tol, Terbitlah Teguran Dishub DKI",hard,gegara jalan ditutup demi proyek tol terbitlah teguran dishub dki,"['gegara', 'jalan', 'ditutup', 'demi', 'proyek', 'tol', 'terbitlah', 'teguran', 'dishub', 'dki']","['gegara', 'jalan', 'ditutup', 'proyek', 'tol', 'terbitlah', 'teguran', 'dishub']","['gegara', 'jalan', 'tutup', 'proyek', 'tol', 'terbit', 'tegur', 'dishub']"
1127,"TASPEN Gelar Program Mudik Gratis ke 8 Daerah, Sediakan 14 Armada Bus",hard,taspen gelar program mudik gratis ke daerah sediakan armada bus,"['taspen', 'gelar', 'program', 'mudik', 'gratis', 'ke', 'daerah', 'sediakan', 'armada', 'bus']","['taspen', 'gelar', 'program', 'mudik', 'gratis', 'daerah', 'sediakan', 'armada', 'bus']","['taspen', 'gelar', 'program', 'mudik', 'gratis', 'daerah', 'sedia', 'armada', 'bus']"
1128,Bareskrim Sita 80 Kg Sabu dalam 10 Hari Operasi di Pelabuhan Bakauheni,hard,bareskrim sita kg sabu dalam hari operasi di pelabuhan bakauheni,"['bareskrim', 'sita', 'kg', 'sabu', 'dalam', 'hari', 'operasi', 'di', 'pelabuhan', 'bakauheni']","['bareskrim', 'sita', 'kg', 'sabu', 'operasi', 'pelabuhan', 'bakauheni']","['bareskrim', 'sita', 'kg', 'sabu', 'operasi', 'labuh', 'bakauheni']"
1129,"Tekan Inflasi, Pemprov Kalteng Salurkan Bantuan Sosial 1.420 Ton Beras",hard,tekan inflasi pemprov kalteng salurkan bantuan sosial ton beras,"['tekan', 'inflasi', 'pemprov', 'kalteng', 'salurkan', 'bantuan', 'sosial', 'ton', 'beras']","['tekan', 'inflasi', 'pemprov', 'kalteng', 'salurkan', 'bantuan', 'sosial', 'ton', 'beras']","['tekan', 'inflasi', 'pemprov', 'kalteng', 'salur', 'bantu', 'sosial', 'ton', 'beras']"
1130,Rekapitulasi Nasional: Ahmad Muzani Amankan 1 Kursi DPR RI Dapil Lampung I,hard,rekapitulasi nasional ahmad muzani amankan kursi dpr ri dapil lampung i,"['rekapitulasi', 'nasional', 'ahmad', 'muzani', 'amankan', 'kursi', 'dpr', 'ri', 'dapil', 'lampung', 'i']","['rekapitulasi', 'nasional', 'ahmad', 'muzani', 'amankan', 'kursi', 'dpr', 'ri', 'dapil', 'lampung', 'i']","['rekapitulasi', 'nasional', 'ahmad', 'muzani', 'aman', 'kursi', 'dpr', 'ri', 'dapil', 'lampung', 'i']"
1131,Karyawan di Wonogiri Gelapkan Uang Kantor Rp 551 Juta untuk Bayar Utang,hard,karyawan di wonogiri gelapkan uang kantor rp juta untuk bayar utang,"['karyawan', 'di', 'wonogiri', 'gelapkan', 'uang', 'kantor', 'rp', 'juta', 'untuk', 'bayar', 'utang']","['karyawan', 'wonogiri', 'gelapkan', 'uang', 'kantor', 'rp', 'juta', 'bayar', 'utang']","['karyawan', 'wonogiri', 'gelap', 'uang', 'kantor', 'rp', 'juta', 'bayar', 'utang']"
1132,Israel Balik Tuduh Warga Palestina atas Tragedi Pengantre Bantuan Gaza,hard,israel balik tuduh warga palestina atas tragedi pengantre bantuan gaza,"['israel', 'balik', 'tuduh', 'warga', 'palestina', 'atas', 'tragedi', 'pengantre', 'bantuan', 'gaza']","['israel', 'tuduh', 'palestina', 'tragedi', 'pengantre', 'bantuan', 'gaza']","['israel', 'tuduh', 'palestina', 'tragedi', 'antre', 'bantu', 'gaza']"
1133,Kenneth DPRD DKI: Mari Jadikan Momentum Ramadan Ini untuk Perbaiki Diri,hard,kenneth dprd dki mari jadikan momentum ramadan ini untuk perbaiki diri,"['kenneth', 'dprd', 'dki', 'mari', 'jadikan', 'momentum', 'ramadan', 'ini', 'untuk', 'perbaiki', 'diri']","['kenneth', 'dprd', 'mari', 'jadikan', 'momentum', 'ramadan', 'perbaiki']","['kenneth', 'dprd', 'mari', 'jadi', 'momentum', 'ramadan', 'baik']"
1134,Menaker Minta Balai Samarinda Jadi Garda Depan Penerapan K3 di Proyek IKN,hard,menaker minta balai samarinda jadi garda depan penerapan di proyek ikn,"['menaker', 'minta', 'balai', 'samarinda', 'jadi', 'garda', 'depan', 'penerapan', 'di', 'proyek', 'ikn']","['menaker', 'balai', 'samarinda', 'garda', 'penerapan', 'proyek', 'ikn']","['menaker', 'balai', 'samarinda', 'garda', 'terap', 'proyek', 'ikn']"
1135,"Perang Sarung Pelajar di Bekasi Makan Korban, 1 Orang Tewas",hard,perang sarung pelajar di bekasi makan korban orang tewas,"['perang', 'sarung', 'pelajar', 'di', 'bekasi', 'makan', 'korban', 'orang', 'tewas']","['perang', 'sarung', 'pelajar', 'bekasi', 'makan', 'korban', 'orang', 'tewas']","['perang', 'sarung', 'ajar', 'bekas', 'makan', 'korban', 'orang', 'tewas']"
1136,"Kunjungi Warga Terdampak Banjir di Sumbar, Anies Beri Bantuan Sembako",hard,kunjungi warga terdampak banjir di sumbar anies beri bantuan sembako,"['kunjungi', 'warga', 'terdampak', 'banjir', 'di', 'sumbar', 'anies', 'beri', 'bantuan', 'sembako']","['kunjungi', 'terdampak', 'banjir', 'sumbar', 'bantuan', 'sembako']","['kunjung', 'dampak', 'banjir', 'sumbar', 'bantu', 'sembako']"
1137,MKGR Tegaskan Munaslub Golkar untuk Ubah AD/ART Saat Ini Tak Mungkin,hard,mkgr tegaskan munaslub golkar untuk ubah adart saat ini tak mungkin,"['mkgr', 'tegaskan', 'munaslub', 'golkar', 'untuk', 'ubah', 'adart', 'saat', 'ini', 'tak', 'mungkin']","['mkgr', 'tegaskan', 'munaslub', 'golkar', 'ubah', 'adart']","['mkgr', 'tegas', 'munaslub', 'golkar', 'ubah', 'adart']"
1138,"KPU Ungkap Rekapitulasi Kabupaten Bekasi Rampung, Besok Ada di Jakarta",hard,kpu ungkap rekapitulasi kabupaten bekasi rampung besok ada di jakarta,"['kpu', 'ungkap', 'rekapitulasi', 'kabupaten', 'bekasi', 'rampung', 'besok', 'ada', 'di', 'jakarta']","['kpu', 'rekapitulasi', 'kabupaten', 'bekasi', 'rampung', 'besok']","['kpu', 'rekapitulasi', 'kabupaten', 'bekas', 'rampung', 'besok']"
1139,"Gempa M 4,5 Terjadi di Jember Jatim",hard,gempa m terjadi di jember jatim,"['gempa', 'm', 'terjadi', 'di', 'jember', 'jatim']","['gempa', 'jember', 'jatim']","['gempa', 'jember', 'jatim']"
1140,"Rekapitulasi KPU: Prabowo-Gibran Unggul di Papua Tengah, Raih 638.616 Suara",hard,rekapitulasi kpu prabowogibran unggul di papua tengah raih suara,"['rekapitulasi', 'kpu', 'prabowogibran', 'unggul', 'di', 'papua', 'tengah', 'raih', 'suara']","['rekapitulasi', 'kpu', 'unggul', 'papua', 'raih', 'suara']","['rekapitulasi', 'kpu', 'unggul', 'papua', 'raih', 'suara']"
1141,Polres Malang Ungkap Modus Gudang Kemas Ulang Beras Bulog Jadi Premium,hard,polres malang ungkap modus gudang kemas ulang beras bulog jadi premium,"['polres', 'malang', 'ungkap', 'modus', 'gudang', 'kemas', 'ulang', 'beras', 'bulog', 'jadi', 'premium']","['polres', 'malang', 'modus', 'gudang', 'kemas', 'ulang', 'beras', 'bulog', 'premium']","['polres', 'malang', 'modus', 'gudang', 'kemas', 'ulang', 'beras', 'bulog', 'premium']"
1142,Polres Malang Segel Gudang Pengemasan Ulang Beras Bulog Jadi Premium,hard,polres malang segel gudang pengemasan ulang beras bulog jadi premium,"['polres', 'malang', 'segel', 'gudang', 'pengemasan', 'ulang', 'beras', 'bulog', 'jadi', 'premium']","['polres', 'malang', 'segel', 'gudang', 'pengemasan', 'ulang', 'beras', 'bulog', 'premium']","['polres', 'malang', 'segel', 'gudang', 'emas', 'ulang', 'beras', 'bulog', 'premium']"
